,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,ID
0,tGb7E,rn2r3/pk3p1p/4p3/1pQ5/q1pR4/8/PP3PPP/1K1R4 b - - 11 28,a4a5 d4d7 b8d7 d1d7 b7a6 c5d6 a5b6 d6a3,2400,78,98,112,crushing middlegame sacrifice veryLong,https://lichess.org/MaaQkpdM/black#56,,4834306
1,oy8FR,8/p7/3P4/8/P1p2b2/2k3N1/5K2/8 w - - 1 39,f2f3 f4d6 g3e4 c3d3 e4d6 c4c3,2400,75,100,82,crushing endgame long sacrifice,https://lichess.org/kW1rqQ9j#77,,4457716
2,j284a,4rrk1/3q1p2/p5p1/2pbR2N/P2p1Q1P/8/1B1P2P1/6K1 b - - 0 31,e8e6 f4f6 e6f6 h5f6 g8g7 f6d7,2400,77,98,209,crushing fork long middlegame sacrifice,https://lichess.org/qBoGU67m/black#62,,3937650
3,fj9mf,8/R1pk2p1/1P3r2/2P5/5p2/8/1K6/8 b - - 0 52,f4f3 b6b7 f3f2 b7b8q,2400,78,98,428,advancedPawn advantage endgame promotion rookEndgame short,https://lichess.org/XtQVi345/black#104,,3648062
4,hThs8,3q4/1Qb2pk1/5npN/1R1p4/7r/1P6/P4PPP/R5K1 w - - 1 24,a1c1 c7h2 g1f1 h4h6 c1c8 d8d6,2400,77,99,177,advantage defensiveMove long middlegame,https://lichess.org/5HSOyIlR#47,,3800979
5,HTsIS,r1bk2r1/1p3p2/3p4/4P1q1/1N6/3B1Qp1/P1P2PKP/1R3R2 w - - 0 24,d3h7 c8h3 g2h3 g5h6 f3h5 h6h5,2400,76,98,151,attraction crushing fork long middlegame sacrifice,https://lichess.org/2yzXZU6F#47,,1528821
6,usC3r,2r1r1k1/1b1qbp1N/p3p1pB/np6/3PB3/2P4Q/P4PPP/R3R1K1 b - - 0 20,g8h7 h6f4 h7g8 f4e5 f7f6 e4g6,2400,77,98,286,advantage discoveredAttack long middlegame quietMove,https://lichess.org/9whNIrMv/black#40,,4974914
7,yEbB0,r1b3r1/pp3p1k/2np1p1p/3p1q2/3Pp3/2P1P3/PPQNBPPP/R4R1K w - - 6 18,f2f3 g8g2 h1g2 e4f3 e2f3 f5c2,2400,76,98,242,advantage attraction discoveredAttack fork long middlegame pin sacrifice,https://lichess.org/x6yEeCMC#35,Rapport-Jobava_System Rapport-Jobava_System_Other_variations,5269040
8,LI9aD,3n4/2p5/p2kpKN1/1p1p4/1P1P4/P1P5/8/8 b - - 3 46,c7c6 g6f8 d8f7 f6f7,2401,77,100,72,crushing endgame knightEndgame short zugzwang,https://lichess.org/7qh5gnXu/black#92,,1861702
9,mOoAo,r2q1r2/pp2b3/6k1/4Rp1p/3p1p2/3Q4/PPP2PPP/4R1K1 b - - 2 23,e7b4 e5f5 f8f5 e1e6 d8f6 e6f6 g6f6 d3d4,2401,77,99,119,advantage attraction middlegame pin sacrifice veryLong,https://lichess.org/79vh7086/black#46,,4232930
10,z0tMZ,6rk/p5pp/2Q5/4P3/3P4/4p3/PP1q2PP/5R1K w - - 0 36,c6c3 e3e2 f1e1 g8f8 h1g1 d2d1,2401,79,98,242,advancedPawn advantage endgame long quietMove,https://lichess.org/9wxaLxu7#71,,5337443
11,3L4E5,r7/P3k1p1/1K3p1p/8/8/2N5/1P1p3P/8 b - - 1 52,e7d6 c3e4 d6e6 e4d2,2401,76,98,308,advantage endgame short,https://lichess.org/nEV5A8mN/black#104,,292108
12,uzBhj,r1b3R1/pp1p1p2/1q1P3p/5Qpk/5p2/2P5/PP4PP/n1B4K b - - 3 24,b6f2 g8g5 h6g5 f5h7 h5g4 h7h3,2402,80,99,416,long mate mateIn3 middlegame sacrifice,https://lichess.org/QcDYjQQ1/black#48,,4984598
13,0yABe,2r5/1p2kp2/2PR1p2/2P1p3/4P1P1/5K2/5P2/8 b - - 0 34,c8c6 d6c6 b7c6 f3g3 e7f8 g3h4 f8g7 h4h5 g7h7 g4g5 f6g5 h5g5 h7g7 g5f5,2402,79,99,87,crushing endgame master rookEndgame veryLong,https://lichess.org/WSIkxwnQ/black#68,,84646
14,W0YbC,1k1r4/1p4pr/p4p1q/8/3p2Q1/PB4N1/1PP2PP1/3R2K1 w - - 0 27,d1d4 h6c1 g3f1 d8h8 g2g3 h7h1,2402,78,100,124,advantage long middlegame quietMove,https://lichess.org/zYM9MRAk#53,,2798589
15,n6Qtc,8/4b3/8/5BPP/2p5/1pk1P3/5P2/3K4 w - - 1 68,f2f4 c3b2 h5h6 e7f8 h6h7 f8g7,2402,79,100,115,bishopEndgame crushing defensiveMove endgame long,https://lichess.org/OB8Am7oS#135,,4294366
16,ud24d,r3r3/pb3pk1/8/2pPpR1p/1pP4q/1P1Q2P1/P6P/4R2K b - - 0 25,h4d4 f5f7 g7f7 d3h7 f7f6 e1f1,2402,76,99,200,attraction crushing long middlegame sacrifice,https://lichess.org/V8mnYZAG/black#50,,4953691
17,uK2O6,6k1/6pp/4R3/3p4/1Pn1b3/P1R1P2r/8/6K1 w - - 0 32,c3c4 h3h1 g1f2 d5c4 e6e8 g8f7 e8e4 c4c3,2403,80,98,150,crushing endgame intermezzo veryLong,https://lichess.org/e5KflRR8#63,,4927109
18,BwCJZ,r4rk1/p1p3pp/2b5/2bq1p2/2pN2Q1/2P5/PP4PP/RNB1R1K1 w - - 0 17,g4h3 a8e8 c1e3 f5f4,2403,78,100,110,advantage master middlegame short,https://lichess.org/yEKBAohZ#33,Ruy_Lopez Ruy_Lopez_Berlin_Defense,1044490
